pickup_hour,trip_count,avg_trip_duration_sec,avg_trip_distance_miles,avg_fare_amount
0,124538,972.860412083059,11.97018492347724,21.839341887614093
1,82959,882.9979387408238,3.621383092853084,20.360692390215185
2,55893,841.6070348701984,3.562585117993315,19.431163115238565
3,39142,865.851744928721,14.120401870113866,20.19138086965444
4,32254,961.6959756929372,12.184948223476152,24.613507161902568
5,36190,1174.0615363360043,5.986363912683049,27.67148051948073
6,67032,1214.5122031268647,9.872514172335633,24.3367384234394
7,122926,1169.3044921334788,13.28646274994709,22.31258293607355
8,158313,1162.645114425221,3.940171495707847,21.82561135219292
9,169300,1139.9644713526284,4.406244418192547,20.707367040754807
10,174986,1155.8774816271016,4.59326031796831,20.56288760243615
11,189379,1216.4753430950634,4.929925704539557,21.33605975319269
12,204896,1230.5632857644855,3.726099435811365,21.33501879001972
13,210993,1267.8034768925984,3.8951855748769098,22.103489120491453
14,233957,1331.07538564779,4.278023397461905,22.831999341758525
15,242055,1369.3832889219393,5.007107310322037,23.058203342214767
16,242850,1330.9868643195389,3.2221652872143203,22.76664768375425
17,272245,1211.3912909327994,3.16654855001924,21.600409447371447
18,279829,1089.0464640905695,3.95367678117716,20.180325055657352
19,239155,1019.049817064247,4.545883673768089,19.97363638644272
20,217503,997.1608161726504,3.546660275950222,20.269066495633304
21,236507,987.1986664242496,4.617065668246609,20.88764708866793
22,225090,1010.6454129459328,5.159553645208594,21.57557954595748
23,180781,1012.2758918249152,5.053798297387452,22.197571868722868
